CID,File,Line,Type,Status,Code
41860,"/src/app/[lng]/authorization/(menu)/dam/(menu)/parameters/(menu)/masterData/(menu)/zone/form/tableHistory.tsx",140,"Property access or function call before check for null or undefined","FALSE_POSITIVE",")}"
41862,"/src/app/[lng]/authorization/(menu)/nominations/(menu)/dailyManagement/nomCodeView/nomCodeView.tsx",759,"Bad use of null-like value","NEEDS_REVIEW","key={button.id}"
41865,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/balReport/form/rowBlueComponent.tsx",83,"Property access or function call before check for null or undefined","FALSE_POSITIVE",""
41866,"/src/app/[lng]/authorization/(menu)/allocation/(menu)/alloManage/page.tsx",603,"Property access or function call before check for null or undefined","NEEDS_REVIEW","""filter"": ["
41867,"/src/app/[lng]/authorization/(menu)/metering/(menu)/MeteringManagement/form/modalViewDetail.tsx",276,"Property access or function call before check for null or undefined","NEEDS_REVIEW","placeholder=""0.000"""
41868,"/src/utils/generalFormatter.ts",3080,"Bad use of null-like value","NEEDS_REVIEW","export const parseMonth = (label: any) => {"
41873,"/src/app/[lng]/authorization/(menu)/nominations/(menu)/weeklyManagement/nomCodeView/pageViewFile.tsx",21,"Bad use of null-like value","FALSE_POSITIVE","}, [data])"
41874,"/src/app/[lng]/authorization/(menu)/dam/(menu)/userManagement/(menu)/roles/form/modalPermission.tsx",109,"Bad use of null-like value","NEEDS_REVIEW","className={`checkbox-custom w-4 h-4 rounded border-2 cursor-pointer"
41875,"/src/components/other/popOverfor_mt_table.tsx",68,"Property access or function call before check for null or undefined","DEFINITELY_FIXED","height: renderLine(column?.parent_id, column?.key),"
41879,"/src/app/[lng]/authorization/(menu)/dam/(menu)/parameters/(menu)/masterData/(menu)/contractPoint/form/modalAction_bak.tsx",1124,"Bad use of null-like value","DEFINITELY_FIXED","<Checkbox checked={(watch(""nomination_point"") ? Array.isArray(watch(""nomination_point"")) ? watch(""nomination_point"") : [watch(""nomination_point"")] : []).includes(item.id)} sx={{ padding: ""0px"", marginRight: ""8px"" }} />"
41882,"/src/utils/transformHistoryData.tsx",231,"Property access or function call before check for null or undefined","FALSE_POSITIVE","});"
41884,"/src/app/[lng]/authorization/(menu)/event/(menu)/EmergencyDifficultDay/form/table.tsx",299,"Bad use of null-like value","NEEDS_REVIEW","<div className=""h-[calc(100vh-380px)] overflow-y-auto overflow-x-auto rounded-t-md relative z-1"">"
41887,"/src/app/[lng]/authorization/(menu)/allocation/(menu)/alloReport/form/tableIntraDay.tsx",332,"Property access or function call before check for null or undefined","LIKELY_FIXED","{columnVisibility?.shipper_name && ("
41901,"/src/app/[lng]/authorization/(menu)/nominations/(menu)/weeklyManagement/nomCodeView/pageViewFile.tsx",37,"Property access or function call before check for null or undefined","NEEDS_REVIEW","<div className=""flex items-baseline gap-2"">"
41903,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/balSystemAccImbInv/form/chart.tsx",369,"Bad use of null-like value","NEEDS_REVIEW","stepSize: yScaleOptions.stepSize,"
41904,"/src/components/table/AppTable.tsx",289,"Property access or function call before check for null or undefined","NEEDS_REVIEW","textAlign: align,"
41906,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/balReport/form/rowYellowComponent.tsx",90,"Property access or function call before check for null or undefined","FALSE_POSITIVE",""
41908,"/src/components/layout/NavMenu.tsx",149,"Bad use of null-like value","NEEDS_REVIEW","<h1 className={`break-words whitespace-normal text-[#757575] ${level === 0 ? ""text-[14px]"" : ""text-[12px]""}`}>"
41910,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/balOperateFlowAndinstructedFlow/form/table.tsx",606,"Property access or function call before check for null or undefined","LIKELY_FIXED","{columnVisibility?.energy_flow_rate_adjustment_mmbtud && ("
41914,"/src/app/[lng]/authorization/(menu)/dam/(menu)/userManagement/(menu)/group/(menu)/tso/form/table.tsx",219,"Bad use of null-like value","NEEDS_REVIEW","className={`${table_row_style}`}"
41920,"/src/app/[lng]/authorization/(menu)/event/(menu)/EventOffSpecGas/form/table.tsx",417,"Property access or function call before check for null or undefined","NEEDS_REVIEW","scope=""col"""
41924,"/src/app/[lng]/authorization/(menu)/event/(menu)/OFIF/form/document/formDocument7.tsx",1050,"Property access or function call before check for null or undefined","FALSE_POSITIVE","}"
41931,"/src/app/[lng]/authorization/(menu)/dam/(menu)/parameters/(menu)/masterData/(menu)/contractPoint/form/modalAction_bak.tsx",1311,"Bad use of null-like value","NEEDS_REVIEW","<div>"
41933,"/src/app/[lng]/authorization/(menu)/allocation/(menu)/allocShipperReport/page.tsx",626,"Property access or function call before check for null or undefined","FALSE_POSITIVE",""
41936,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/intradayBalReport/page.tsx",403,"Property access or function call before check for null or undefined","FALSE_POSITIVE","//             normalize(formatNumberFourDecimalNoComma(val)).includes(queryLower)"
41956,"/src/components/other/motherDynamicTable2.tsx",2344,"Property access or function call before check for null or undefined","FALSE_POSITIVE","// );"
41959,"/src/utils/transformHistoryData.tsx",140,"Property access or function call before check for null or undefined","FALSE_POSITIVE","}"
41961,"/src/app/[lng]/authorization/(menu)/metering/(menu)/MeteringChecking/form/table.tsx",170,"Bad use of null-like value","NEEDS_REVIEW","<td"
41963,"/src/utils/generalFormatter.ts",9023,"Bad use of null-like value","FALSE_POSITIVE","};"
41967,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/balAdjust/(menu)/adjustAccumulatedImbalance/form/table.tsx",214,"Bad use of null-like value","NEEDS_REVIEW","className={`${table_row_style}`}"
41971,"/src/app/[lng]/authorization/(menu)/allocation/(menu)/alloManage/form/table.tsx",496,"Property access or function call before check for null or undefined","NEEDS_REVIEW","setselectedItem(() => newItem);"
41972,"/src/app/[lng]/authorization/(menu)/event/(menu)/EmergencyDifficultDay/page.tsx",181,"Property access or function call before check for null or undefined","DEFINITELY_FIXED","(itemdoc5?.length > 0 && datashiper5?.replace(/\s+/g, '').toLowerCase().trim()?.includes(queryLower)) ||"
41973,"/src/app/[lng]/authorization/(menu)/event/(menu)/EventOffSpecGas/form/table.tsx",510,"Bad use of null-like value","NEEDS_REVIEW",">"
41974,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/balMonthlyReport/form/tableDownload.tsx",106,"Bad use of null-like value","LIKELY_FIXED","{columnVisibility?.report_version && ("
41977,"/src/components/other/motherDynamicTable2.tsx",190,"Bad use of null-like value","FALSE_POSITIVE","// zone_text: item.zone_text,"
41979,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/balOperateFlowAndInstructedFlow/form/tableForShipper.tsx",546,"Bad use of null-like value","NEEDS_REVIEW","<td className=""px-2 py-1  text-right text-[#464255] bg-[#FFFFFF]"">"
41982,"/src/app/[lng]/authorization/(menu)/allocation/(menu)/alloReport/form/tableIntraDay.tsx",188,"Bad use of null-like value","NEEDS_REVIEW","<thead className=""text-xs text-[#ffffff] bg-[#1473A1] sticky top-0 z-10"">"
41988,"/src/components/other/fatherDynamicModify.tsx",1078,"Property access or function call before check for null or undefined","FALSE_POSITIVE","} else if (header?.subHeaders && header.subHeaders.length > 0) {"
41989,"/src/app/[lng]/authorization/(menu)/tariff/(menu)/TariffChargeReport/form/modalRunTariff.tsx",107,"Property access or function call before check for null or undefined","LIKELY_FIXED","if (item?.status_capacity_request_management == 5) {"
41992,"/src/app/[lng]/authorization/(menu)/booking/(menu)/pathManagement/form/modalAction.tsx",531,"Property access or function call before check for null or undefined","LIKELY_FIXED","?.sort((a: any, b: any) => b.area.id - a.area.id) // Sort by area_id in ascending order"
41995,"/src/app/[lng]/authorization/(menu)/nominations/(menu)/weeklyManagement/nomCodeView/pageComment.tsx",165,"Property access or function call before check for null or undefined","DEFINITELY_FIXED","<div className=""flex min-w-[180px] max-w-[250px] w-auto text-center justify-center rounded-full p-1 text-[#464255]"" style={{ backgroundColor: String(item?.query_shipper_nomination_status?.color) }}>{item?.query_shipper_nomination_status?.name}</div>"
41997,"/src/app/[lng]/authorization/(menu)/event/(menu)/EmergencyDifficultDay/form/document/formDocument41.tsx",938,"Property access or function call before check for null or undefined","NEEDS_REVIEW","break;"
42002,"/src/app/[lng]/authorization/(menu)/dam/(menu)/userManagement/(menu)/group/(menu)/shippers/form/modalAction.tsx",278,"Property access or function call before check for null or undefined","NEEDS_REVIEW","autoFocus: false,"
42003,"/src/utils/generalFormatter.ts",2521,"Property access or function call before check for null or undefined","FALSE_POSITIVE",""
42005,"/src/app/[lng]/authorization/(menu)/booking/(menu)/release/(menu)/ReleaseCapSubmission/form/modalSubmissionDetailBackup.tsx",139,"Property access or function call before check for null or undefined","LIKELY_FIXED","total_contracted_mmscfd: item.exitData?.contracted_mmscfd,"
42006,"/src/components/other/popOverfor_mt_table.tsx",89,"Bad use of null-like value","NEEDS_REVIEW","<label key={column.key} className=""flex items-center gap-2"">"
42008,"/src/app/[lng]/authorization/(menu)/dam/(menu)/userManagement/(menu)/systemLogin/form/modalView.tsx",238,"Bad use of null-like value","NEEDS_REVIEW","<ContentCopyOutlinedIcon sx={{ color: '#58585A', fontSize: '20px' }} />"
42010,"/src/app/[lng]/authorization/(menu)/event/(menu)/OFIF/form/document/formDocument8.tsx",934,"Property access or function call before check for null or undefined","LIKELY_FIXED",".sort((a: any, b: any) => a.name.localeCompare(b.name))?.map((item: any) => ("
42012,"/src/components/layout/NavMenu.tsx",151,"Property access or function call before check for null or undefined","FALSE_POSITIVE","// className={`flex justify-center items-center px-2 h-[26px] text-[#757575] ${isActive(item.url) && ""!text-[#000000]""} ${level === 0 ? ""text-[14px]"" : ""text-[12px]""}`}"
42013,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/balReport/form/rowWhiteComponent.tsx",69,"Property access or function call before check for null or undefined","NEEDS_REVIEW","key={`contract-${row.request_number}-${cIdx}-${index}`}"
42014,"/src/components/other/motherDynamicTable2.tsx",1166,"Bad use of null-like value","FALSE_POSITIVE",""
42017,"/src/app/[lng]/authorization/(menu)/dam/(menu)/userManagement/(menu)/users/page.tsx",602,"Bad use of null-like value","LIKELY_FIXED","first_name: filteredData?.first_name,"
42018,"/src/app/[lng]/authorization/(menu)/dam/(menu)/parameters/(menu)/masterData/(menu)/contractPoint/form/modalAction.tsx",926,"Property access or function call before check for null or undefined","LIKELY_FIXED","{nomSelectData?.slice() // เพื่อไม่เปลี่ยนต้นฉบับ"
42020,"/src/app/[lng]/authorization/(menu)/tariff/(menu)/TariffCreditDebitNote/form/tableDetailNote.tsx",155,"Property access or function call before check for null or undefined","DEFINITELY_FIXED","<td className=""px-2 py-1  text-[#464255]  "">{row?.contract_code ? row?.contract_code : ''}</td>"
42021,"/src/app/[lng]/authorization/(menu)/nominations/(menu)/shipperNominationReport/form/viewPage/tableView.tsx",205,"Bad use of null-like value","NEEDS_REVIEW","<tr"
42024,"/src/components/other/fatherDynamicModify.tsx",974,"Bad use of null-like value","NEEDS_REVIEW","return ("
42028,"/src/app/[lng]/authorization/(menu)/metering/(menu)/MeteringManagement/form/table.tsx",204,"Bad use of null-like value","NEEDS_REVIEW","key={index}"
42030,"/src/utils/transformHistoryData.tsx",96,"Property access or function call before check for null or undefined","NEEDS_REVIEW","break;"
42037,"/src/app/[lng]/authorization/(menu)/allocation/(menu)/allocShipperReport/page.tsx",673,"Property access or function call before check for null or undefined","NEEDS_REVIEW",".filter(Boolean);"
42043,"/src/app/[lng]/authorization/(menu)/booking/(menu)/pathManagement/form/modalActionBank.tsx",563,"Property access or function call before check for null or undefined","FALSE_POSITIVE",""
42044,"/src/components/other/motherDynamicTable2.tsx",1481,"Property access or function call before check for null or undefined","LIKELY_FIXED","columnVisibility[subHeader?.key] && ("
42051,"/src/app/[lng]/authorization/(menu)/booking/(menu)/capacity/(menu)/CapReqMgn/form/tableModify.tsx",1336,"Bad use of null-like value","NEEDS_REVIEW","return ("
42052,"/src/app/[lng]/authorization/(menu)/dam/(menu)/userManagement/(menu)/users/form/modalRole.tsx",55,"Property access or function call before check for null or undefined","DEFINITELY_FIXED","<p>{item?.role?.name || '-'}</p>"
42057,"/src/app/[lng]/authorization/(menu)/planning/(menu)/planningDashboard/form/modalFullView.tsx",465,"Bad use of null-like value","NEEDS_REVIEW","const entryExitCondition = srchEntryExit"
42061,"/src/app/[lng]/authorization/(menu)/booking/(menu)/pathManagement/form/modalActionBank.tsx",557,"Bad use of null-like value","LIKELY_FIXED","const areaMap = pathDataShow?.reduce((acc: any, pathItem: any) => {"
42064,"/src/app/[lng]/authorization/(menu)/nominations/(menu)/shipperNominationReport/page.tsx",971,"Property access or function call before check for null or undefined","DEFINITELY_FIXED","Object.fromEntries((initialColumns ?? []).map((column: any) => [column?.key, column?.visible]))"
42065,"/src/app/[lng]/authorization/(menu)/booking/(menu)/capacity/(menu)/CapReqMgn/form/tableModify.tsx",782,"Property access or function call before check for null or undefined","LIKELY_FIXED","if (header?.label == ""Period"") {"
42067,"/src/app/[lng]/authorization/(menu)/dam/(menu)/parameters/(menu)/masterData/(menu)/contractPoint/form/modalAction_bak.tsx",492,"Property access or function call before check for null or undefined","DEFINITELY_FIXED","const isSamePoint = res_period?.nominationPoint?.some((item: any) => {"
42074,"/src/app/[lng]/authorization/(menu)/dam/(menu)/parameters/(menu)/masterData/(menu)/meteredPoint/form/modalAction.tsx",656,"Property access or function call before check for null or undefined","LIKELY_FIXED","const textA = (a?.metered_point_name ?? '').toString().toLowerCase();"
42077,"/src/app/[lng]/authorization/(menu)/dam/(menu)/userManagement/(menu)/roles/form/modalPermission.tsx",69,"Property access or function call before check for null or undefined","DEFINITELY_FIXED","{level === 2 ? item?.menus?.name : """"}"
42086,"/src/app/[lng]/authorization/(menu)/booking/(menu)/capacity/(menu)/CapPublication/form/table.tsx",318,"Property access or function call before check for null or undefined","NEEDS_REVIEW","style={{ gridColumn: `${index + 1}` }} // Ensure each column aligns with the header grid"
42087,"/src/app/[lng]/authorization/(menu)/booking/(menu)/release/(menu)/ReleaseCapSubmission/page.tsx",1188,"Bad use of null-like value","LIKELY_FIXED","const needMmscfd = subRow?.total_contracted_mmscfd != undefined;"
42091,"/src/utils/generalFormatter.ts",2430,"Property access or function call before check for null or undefined","FALSE_POSITIVE",");"
42092,"/src/app/[lng]/authorization/(menu)/allocation/(menu)/curtailmentsAllocation/form/tableIntraDay.tsx",190,"Property access or function call before check for null or undefined","DEFINITELY_FIXED","<div>{row?.nomination_point ? row?.nomination_point : null}</div>"
42095,"/src/components/other/fatherDynamicModify.tsx",698,"Property access or function call before check for null or undefined","LIKELY_FIXED","header?.label == ""Pressure Range"" ? 'Pressure Range (PSIG)' : header.label == ""Temperature Range"" ? 'Temperature Range (Deg. F)' : header.label"
42106,"/src/app/[lng]/authorization/(menu)/dam/(menu)/userManagement/(menu)/group/(menu)/shippers/form/tableHistory.tsx",211,"Bad use of null-like value","NEEDS_REVIEW","<SupervisorAccountRoundedIcon sx={{ fontSize: 18, color: '#1473A1', '&:hover': { color: '#ffffff' } }} />"
42107,"/src/components/other/motherDynamicTable2.tsx",196,"Property access or function call before check for null or undefined","NEEDS_REVIEW","booking_version_id: item.booking_version_id,"
42108,"/src/app/[lng]/(authentication)/reset-password/form/form-reset-pass.tsx",108,"Property access or function call before check for null or undefined","FALSE_POSITIVE","// }"
42111,"/src/app/[lng]/authorization/(menu)/booking/(menu)/capacity/(menu)/CapContractList/form/tablePathDetail_bak_20250923.tsx",108,"Property access or function call before check for null or undefined","LIKELY_FIXED","pathKKKK.push(group?.path_display)"
42112,"/src/app/[lng]/authorization/(menu)/event/(menu)/EmergencyDifficultDay/form/document/formDocument4.tsx",381,"Property access or function call before check for null or undefined","NEEDS_REVIEW","setSelectedShippersRender(filter_shipper)"
42113,"/src/components/table/AppTable.tsx",322,"Property access or function call before check for null or undefined","NEEDS_REVIEW","style={{"
42115,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/balOperateFlowAndInstructedFlow/page.tsx",124,"Bad use of null-like value","FALSE_POSITIVE","// }"
42121,"/src/app/[lng]/authorization/(menu)/booking/(menu)/capacity/(menu)/CapReqMgn/page.tsx",2265,"Property access or function call before check for null or undefined","NEEDS_REVIEW","headerArray.forEach(item => {"
42122,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/balAdjust/(menu)/adjustAccumulatedImbalance/form/tableHistory.tsx",137,"Bad use of null-like value","NEEDS_REVIEW","<tr"
42123,"/src/app/[lng]/authorization/(menu)/booking/(menu)/capacity/(menu)/CapReqMgn/form/tableModify.tsx",1093,"Property access or function call before check for null or undefined","DEFINITELY_FIXED","if (header?.dates && header?.dates?.length > 0) {"
42126,"/src/app/[lng]/authorization/(menu)/dam/(menu)/userManagement/(menu)/systemLogin/page.tsx",224,"Property access or function call before check for null or undefined","FALSE_POSITIVE",""
42127,"/src/app/[lng]/authorization/(menu)/booking/(menu)/capacity/(menu)/CapPublication/page.tsx",494,"Property access or function call before check for null or undefined","NEEDS_REVIEW","const { id, remark, start_date, end_date } = data;"
42128,"/src/app/[lng]/authorization/(menu)/booking/(menu)/release/(menu)/ReleaseSumManagement/form/modalAction.tsx",110,"Bad use of null-like value","NEEDS_REVIEW","setReleaseEndDate(formatDateNoTime(data.exitReleaseStartDate))"
42129,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/balMonthlyReport/page.tsx",241,"Bad use of null-like value","FALSE_POSITIVE",""
42131,"/src/app/[lng]/authorization/(menu)/booking/(menu)/release/(menu)/ReleaseCapSubmission/form/modalAddDocBackUp.tsx",203,"Property access or function call before check for null or undefined","DEFINITELY_FIXED","By <span className=""font-bold text-[#58585A]"">{item?.create_by_account?.first_name} {item?.create_by_account?.last_name}</span>"
42137,"/src/components/other/confirmModal.tsx",33,"Bad use of null-like value","FALSE_POSITIVE","// Validate required props"
42139,"/src/app/[lng]/authorization/(menu)/nominations/(menu)/minimumInventorySummary/form/tableTabWeekly.tsx",39,"Bad use of null-like value","NEEDS_REVIEW","day: dayNames[index],"
42149,"/src/app/[lng]/authorization/(menu)/booking/(menu)/reserveBalGasContracts/form/modalFile.tsx",79,"Property access or function call before check for null or undefined","FALSE_POSITIVE","</div>"
42150,"/src/app/[lng]/authorization/(menu)/metering/(menu)/MeteringManagement/page.tsx",428,"Property access or function call before check for null or undefined","FALSE_POSITIVE","};"
42151,"/src/utils/generalFormatter.ts",6261,"Bad use of null-like value","NEEDS_REVIEW","endDate = today;"
42152,"/src/app/[lng]/authorization/(menu)/event/(menu)/EmergencyDifficultDay/form/document/formDocument39.tsx",427,"Property access or function call before check for null or undefined","NEEDS_REVIEW","setValue(""shipper_id"", value);"
42159,"/src/app/[lng]/authorization/(menu)/event/(menu)/EventOffSpecGas/form/formDocument2.tsx",348,"Property access or function call before check for null or undefined","FALSE_POSITIVE",""
42164,"/src/app/[lng]/authorization/(menu)/dam/(menu)/parameters/(menu)/masterData/(menu)/contractPoint/form/modalAction.tsx",9,"Bad use of null-like value","NEEDS_REVIEW","import AddOutlinedIcon from '@mui/icons-material/AddOutlined';"
42167,"/src/app/[lng]/authorization/(menu)/nominations/(menu)/parkingAllocation/form/table.tsx",323,"Property access or function call before check for null or undefined","NEEDS_REVIEW","{columnVisibility.eod_park && ("
42168,"/src/components/other/tableExit.tsx",73,"Bad use of null-like value","FALSE_POSITIVE","//     }"
42169,"/src/components/other/motherDynamicTable2_function_BANGJU.tsx",56,"Bad use of null-like value","LIKELY_FIXED","key: findObject?.key+""_""+key,"
42174,"/src/app/[lng]/authorization/(menu)/tariff/(menu)/TariffChargeReport/[id]/page.tsx",404,"Property access or function call before check for null or undefined","NEEDS_REVIEW","name: item.shipper.name,"
42176,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/balMonthlyReport/form/tableReport.tsx",197,"Bad use of null-like value","NEEDS_REVIEW","return ("
42177,"/src/app/[lng]/authorization/(menu)/booking/(menu)/pathManagement/form/modalActionBank.tsx",616,"Property access or function call before check for null or undefined","DEFINITELY_FIXED","const findSourceUseTarget = sortedRevisedCapacityPathByEntryExit?.revised_capacity_path_edges?.find((f:any) => {"
42179,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/balReport/form/rowWhiteComponent.tsx",86,"Property access or function call before check for null or undefined","FALSE_POSITIVE","</td>"
42184,"/src/utils/generalFormatter.ts",406,"Property access or function call before check for null or undefined","NEEDS_REVIEW","headerRow1.push(...Array(shipperCount + 1).fill(point));"
42188,"/src/utils/generalFormatter.ts",2203,"Property access or function call before check for null or undefined","NEEDS_REVIEW","if (!entry) return;"
42189,"/src/app/[lng]/authorization/(menu)/dam/(menu)/parameters/(menu)/masterData/(menu)/contractPoint/form/modalAction_bak.tsx",148,"Property access or function call before check for null or undefined","DEFINITELY_FIXED","const area_name = areaMasterData?.find((item: any) => item.id === data?.area_id);"
42191,"/src/utils/sortTable.ts",490,"Bad use of null-like value","DEFINITELY_FIXED","if (data?.shipper_data && Array.isArray(data.shipper_data)) {"
42194,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/intradayBaseInventory/page.tsx",283,"Property access or function call before check for null or undefined","NEEDS_REVIEW","useEffect(() => {"
42195,"/src/utils/generalFormatter.ts",2057,"Property access or function call before check for null or undefined","FALSE_POSITIVE",""
42196,"/src/components/layout/NavMenu.tsx",138,"Bad use of null-like value","NEEDS_REVIEW","router.push(""/en/authorization/"" + item.url);"
42201,"/src/app/[lng]/authorization/(menu)/booking/(menu)/release/(menu)/ReleaseCapSubmission/form/modalAddDoc.tsx",58,"Property access or function call before check for null or undefined","FALSE_POSITIVE","// setfileLoading(false);"
42202,"/src/app/[lng]/authorization/(menu)/event/(menu)/OFIF/form/table.tsx",466,"Bad use of null-like value","NEEDS_REVIEW",">"
42204,"/src/app/[lng]/authorization/(menu)/tariff/(menu)/TariffChargeReport/[id]/form/tableInside.tsx",224,"Bad use of null-like value","NEEDS_REVIEW","className={`${table_row_style}`}"
42205,"/src/app/[lng]/authorization/(menu)/dam/(menu)/parameters/(menu)/masterData/(menu)/configMasterPath/form/flow.tsx",152,"Property access or function call before check for null or undefined","LIKELY_FIXED","if (nodeEditData?.length > 0) {"
42208,"/src/app/[lng]/authorization/(menu)/dam/(menu)/parameters/(menu)/masterData/(menu)/contractPoint/form/modalAction.tsx",492,"Property access or function call before check for null or undefined","NEEDS_REVIEW","return (item.start_date == nominationPoint.start_date || item.start_date == startDateAtThai)"
42219,"/src/components/other/fatherDynamicTable.tsx",985,"Property access or function call before check for null or undefined","FALSE_POSITIVE",""
42234,"/src/app/[lng]/authorization/(menu)/balancing/(menu)/balOperateFlowAndinstructedFlow/form/tableHistory.tsx",57,"Bad use of null-like value","NEEDS_REVIEW","<div className={`h-[calc(100vh-500px)] overflow-y-auto block  rounded-t-md relative z-1`}>"
42235,"/src/app/[lng]/authorization/(menu)/dam/(menu)/parameters/(menu)/masterData/(menu)/zone/page.tsx",265,"Bad use of null-like value","DEFINITELY_FIXED","setModalErrorMsg(res?.response?.data?.error);"
